,,,,,,,,,,,,,,,,,TRAIL 12M,AÑO DE INICIO,TICKER,Nombre,,,,,,,,,,RATING,UPSIDE,PRECIO ACTUAL,PRECIO COMPRA,MEDIANA MAXIMA,PRECIO MAXIMO,BANDA MAXIMA,YIELD MAXIMO,YIELD OVERVALUED,YIELD MEDIO,YOC MAXIMO,G/P MAXIMAS,G/P MAXIMAS CON DIV,RATING MAXIMO,,,,COTIZACIÓN,,,SI,,,MAXIMO,MINIMO,ANCHO,DIVISION,MARCAS
,,,,,,,,,,,,,,,,,NO,2016,RAT LN,Rathbones Group PLC,,,,,,,,,,2%,209%,$ 1.682,00,$    1.616,00,$  2.873,00,$      2.800,00,$   5.190,96,8.46%,2.29%,4.50%,9.67%,36.75%,36.75%,115%,,,,,,,NO,,,8.02%,2.10%,5.92%,0.10%,59
,,,,,,,,,,,,,,,,,CONFIANZA,EXTRA,YOC,FECHA COMPRA,,,,,,,,,,PRECIO MEDIANA,UPSIDE MEDIANA,YIELD ACTUAL,PRECIO VENTA,MEDIANA MINIMA,PRECIO MINIMO,BANDA MINIMA,YIELD MINIMO,YIELD UNDERVALUED,MEDIANA YIELD,YOC MINIMO,G/P MINIMAS,G/P MINIMAS CON DIV,RATING MINIMO,,,,3Y CAGR,0.00%,,Rathbones Group PLC - Max. DrawDown (%),,,,,,,
,,,,,,,,,,,,,,,,,90%,NO,7.36%,11/10/2017,,,,,,,,,,$  2.873,00,71%,7.07%,$   5.190,96,$   1.327,86,$       1.230,00,$       746.89,2.07%,7.36%,4.14%,4.25%,-39.93%,-34.63%,-6%,,,,5Y CAGR,9.97%,,Rathbones Group PLC - Returns (%),,,,,,,
,,,,,,,,,,,,,,,,,,2016,4/15/2016,2.096,00,,,5/16/2016,,5/16/2016,,,,,2.62%,2.096,00,55.00,2.399,19,746.89,1.327,86,82%,14%,2.29%,7.36%,5.68%,-19.75%,-8.16%,243,4.14%,-11.15%,,,,,,95%,,72,,,,
,,,,,,,,,,,,,,,,,,2016,4/18/2016,2.111,00,,,5/23/2016,,5/23/2016,,,,,2.61%,2.111,00,55.00,2.399,19,746.89,1.327,86,83%,14%,2.29%,7.36%,5.64%,-20.32%,-8.81%,243,4.14%,-10.51%,,,,,,96%,,73,,,,
,,,,,,,,,,,,,,,,,,2016,4/19/2016,2.126,00,,,5/31/2016,,5/31/2016,,,,,2.59%,2.126,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.60%,-20.88%,-9.45%,243,4.14%,-9.88%,,,,,,97%,,74,,,,
,,,,,,,,,,,,,,,,,,2016,4/20/2016,2.140,00,,,6/6/2016,,6/6/2016,,,,,2.57%,2.140,00,55.00,2.399,19,746.89,1.327,86,84%,12%,2.29%,7.36%,5.56%,-21.40%,-10.05%,243,4.14%,-9.28%,,,,,,98%,,75,,,,
,,,,,,,,,,,,,,,,,,2016,4/21/2016,2.139,00,,,6/13/2016,,6/13/2016,,,,,2.57%,2.139,00,55.00,2.399,19,746.89,1.327,86,84%,12%,2.29%,7.36%,5.56%,-21.37%,-10.00%,243,4.14%,-9.33%,,,,,,99%,,76,,,,
,,,,,,,,,,,,,,,,,,2016,4/22/2016,2.129,00,,,6/20/2016,,6/20/2016,,,,,2.58%,2.129,00,55.00,2.399,19,746.89,1.327,86,84%,13%,2.29%,7.36%,5.59%,-21.00%,-9.58%,243,4.14%,-9.75%,,,,,,100%,,77,,,,
,,,,,,,,,,,,,,,,,,2016,4/25/2016,2.121,00,,,6/27/2016,,6/27/2016,,,,,2.59%,2.121,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.61%,-20.70%,-9.24%,243,4.14%,-10.09%,,,,,,,,78,,,,
,,,,,,,,,,,,,,,,,,2016,4/26/2016,2.141,00,,,7/4/2016,,7/5/2016,,,,,2.57%,2.141,00,55.00,2.399,19,746.89,1.327,86,84%,12%,2.29%,7.36%,5.56%,-21.44%,-10.09%,243,4.14%,-9.24%,,,,,,,,79,,,,
,,,,,,,,,,,,,,,,,,2016,4/27/2016,2.148,00,,,7/11/2016,,7/11/2016,,,,,2.56%,2.148,00,55.00,2.399,19,746.89,1.327,86,85%,12%,2.29%,7.36%,5.54%,-21.69%,-10.38%,243,4.14%,-8.94%,,,,,,,,80,,,,
,,,,,,,,,,,,,,,,,,2016,4/28/2016,2.115,00,,,7/18/2016,,7/18/2016,,,,,2.60%,2.115,00,55.00,2.399,19,746.89,1.327,86,83%,13%,2.29%,7.36%,5.63%,-20.47%,-8.98%,243,4.14%,-10.34%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,4/29/2016,2.033,00,,,7/25/2016,,7/25/2016,,,,,2.71%,2.033,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.85%,-17.27%,-5.31%,243,4.14%,-13.82%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/3/2016,2.032,00,,,8/1/2016,,8/1/2016,,,,,2.71%,2.032,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.86%,-17.22%,-5.27%,243,4.14%,-13.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/4/2016,2.039,00,,,8/8/2016,,8/8/2016,,,,,2.70%,2.039,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.84%,-17.51%,-5.59%,243,4.14%,-13.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/5/2016,2.030,00,,,8/15/2016,,8/15/2016,,,,,2.71%,2.030,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.86%,-17.14%,-5.17%,243,4.14%,-13.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/6/2016,2.030,00,,,8/22/2016,,8/22/2016,,,,,2.71%,2.030,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.86%,-17.14%,-5.17%,243,4.14%,-13.95%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/9/2016,2.044,00,,,8/30/2016,,8/29/2016,,,,,2.69%,2.044,00,55.00,2.399,19,746.89,1.327,86,79%,17%,2.29%,7.36%,5.82%,-17.71%,-5.82%,243,4.14%,-13.35%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/10/2016,2.037,00,,,9/5/2016,,9/6/2016,,,,,2.70%,2.037,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.84%,-17.43%,-5.50%,243,4.14%,-13.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/11/2016,2.023,00,,,9/12/2016,,9/12/2016,,,,,2.72%,2.023,00,55.00,2.399,19,746.89,1.327,86,77%,19%,2.29%,7.36%,5.88%,-16.86%,-4.84%,243,4.14%,-14.24%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/12/2016,2.027,00,,,9/19/2016,,9/19/2016,,,,,2.71%,2.027,00,55.00,2.399,19,746.89,1.327,86,77%,18%,2.29%,7.36%,5.87%,-17.02%,-5.03%,243,4.14%,-14.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/13/2016,2.039,00,,,9/26/2016,,9/26/2016,,,,,2.70%,2.039,00,55.00,2.399,19,746.89,1.327,86,78%,18%,2.29%,7.36%,5.84%,-17.51%,-5.59%,243,4.14%,-13.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/16/2016,2.050,00,,,10/3/2016,,10/3/2016,,,,,2.68%,2.050,00,55.00,2.399,19,746.89,1.327,86,79%,17%,2.29%,7.36%,5.80%,-17.95%,-6.10%,243,4.14%,-13.10%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/17/2016,2.047,00,,,10/10/2016,,10/10/2016,,,,,2.69%,2.047,00,55.00,2.399,19,746.89,1.327,86,79%,17%,2.29%,7.36%,5.81%,-17.83%,-5.96%,243,4.14%,-13.23%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/18/2016,2.006,00,,,10/17/2016,,10/17/2016,,,,,2.74%,2.006,00,55.00,2.399,19,746.89,1.327,86,76%,20%,2.29%,7.36%,5.93%,-16.15%,-4.04%,243,4.14%,-14.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/19/2016,1.920,00,,,10/24/2016,,10/24/2016,,,,,2.86%,1.920,00,55.00,2.399,19,746.89,1.327,86,71%,25%,2.29%,7.36%,6.20%,-12.40%,0.26%,243,4.14%,-18.61%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/20/2016,1.940,00,,,10/31/2016,,10/31/2016,,,,,2.84%,1.940,00,55.00,2.399,19,746.89,1.327,86,72%,24%,2.29%,7.36%,6.13%,-13.30%,-0.77%,243,4.14%,-17.76%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/23/2016,1.968,00,,,11/7/2016,,11/7/2016,,,,,2.79%,1.968,00,55.00,2.399,19,746.89,1.327,86,74%,22%,2.29%,7.36%,6.05%,-14.53%,-2.18%,243,4.14%,-16.57%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/24/2016,1.990,00,,,11/14/2016,,11/14/2016,,,,,2.76%,1.990,00,55.00,2.399,19,746.89,1.327,86,75%,21%,2.29%,7.36%,5.98%,-15.48%,-3.27%,243,4.14%,-15.64%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/25/2016,2.000,00,,,11/21/2016,,11/21/2016,,,,,2.75%,2.000,00,55.00,2.399,19,746.89,1.327,86,76%,20%,2.29%,7.36%,5.95%,-15.90%,-3.75%,243,4.14%,-15.22%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/26/2016,1.970,00,,,11/28/2016,,11/28/2016,,,,,2.79%,1.970,00,55.00,2.399,19,746.89,1.327,86,74%,22%,2.29%,7.36%,6.04%,-14.62%,-2.28%,243,4.14%,-16.49%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/27/2016,1.975,00,,,12/5/2016,,12/5/2016,,,,,2.78%,1.975,00,55.00,2.399,19,746.89,1.327,86,74%,21%,2.29%,7.36%,6.03%,-14.84%,-2.53%,243,4.14%,-16.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,5/31/2016,1.930,00,,,12/12/2016,,12/12/2016,,,,,2.85%,1.930,00,55.00,2.399,19,746.89,1.327,86,72%,24%,2.29%,7.36%,6.17%,-12.85%,-0.26%,243,4.14%,-18.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/1/2016,1.902,00,,,12/19/2016,,12/19/2016,,,,,2.89%,1.902,00,55.00,2.399,19,746.89,1.327,86,70%,26%,2.29%,7.36%,6.26%,-11.57%,1.21%,243,4.14%,-19.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/2/2016,1.909,00,,,12/28/2016,,12/27/2016,,,,,2.88%,1.909,00,55.00,2.399,19,746.89,1.327,86,70%,26%,2.29%,7.36%,6.23%,-11.89%,0.84%,243,4.14%,-19.08%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/3/2016,1.903,00,,,1/3/2017,,1/3/2017,,,,,2.89%,1.903,00,55.00,2.399,19,746.89,1.327,86,70%,26%,2.29%,7.36%,6.25%,-11.61%,1.16%,243,4.14%,-19.33%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/6/2016,1.900,00,,,1/9/2017,,1/9/2017,,,,,2.89%,1.900,00,55.00,2.399,19,746.89,1.327,86,70%,26%,2.29%,7.36%,6.26%,-11.47%,1.32%,243,4.14%,-19.46%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/7/2016,1.877,00,,,1/16/2017,,1/17/2017,,,,,2.93%,1.877,00,55.00,2.399,19,746.89,1.327,86,68%,28%,2.29%,7.36%,6.34%,-10.39%,2.56%,243,4.14%,-20.43%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/8/2016,1.893,00,,,1/23/2017,,1/23/2017,,,,,2.91%,1.893,00,55.00,2.399,19,746.89,1.327,86,69%,27%,2.29%,7.36%,6.29%,-11.15%,1.69%,243,4.14%,-19.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/9/2016,1.880,00,,,1/30/2017,,1/30/2017,,,,,2.93%,1.880,00,55.00,2.399,19,746.89,1.327,86,69%,28%,2.29%,7.36%,6.33%,-10.53%,2.39%,243,4.14%,-20.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/10/2016,1.846,00,,,2/6/2017,,2/6/2017,,,,,2.98%,1.846,00,55.00,2.399,19,746.89,1.327,86,67%,30%,2.29%,7.36%,6.45%,-8.88%,4.28%,243,4.14%,-21.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/13/2016,1.812,00,,,2/13/2017,,2/13/2017,,,,,3.04%,1.812,00,55.00,2.399,19,746.89,1.327,86,64%,32%,2.29%,7.36%,6.57%,-7.17%,6.24%,243,4.14%,-23.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/14/2016,1.774,00,,,2/20/2017,,2/21/2017,,,,,3.10%,1.774,00,55.00,2.399,19,746.89,1.327,86,62%,35%,2.29%,7.36%,6.71%,-5.19%,8.51%,243,4.14%,-24.80%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/15/2016,1.731,00,,,2/27/2017,,2/27/2017,,,,,3.18%,1.731,00,55.00,2.399,19,746.89,1.327,86,60%,39%,2.29%,7.36%,6.87%,-2.83%,11.21%,243,4.14%,-26.62%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/16/2016,1.720,00,,,3/6/2017,,3/6/2017,,,,,3.20%,1.720,00,55.00,2.399,19,746.89,1.327,86,59%,39%,2.29%,7.36%,6.92%,-2.21%,11.92%,243,4.14%,-27.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/17/2016,1.796,00,,,3/13/2017,,3/13/2017,,,,,3.06%,1.796,00,55.00,2.399,19,746.89,1.327,86,63%,34%,2.29%,7.36%,6.63%,-6.35%,7.18%,243,4.14%,-23.87%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/20/2016,1.870,00,,,3/20/2017,,3/20/2017,,,,,2.94%,1.870,00,55.00,2.399,19,746.89,1.327,86,68%,28%,2.29%,7.36%,6.36%,-10.05%,2.94%,243,4.14%,-20.73%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/21/2016,1.894,00,,,3/27/2017,,3/27/2017,,,,,2.90%,1.894,00,55.00,2.399,19,746.89,1.327,86,69%,27%,2.29%,7.36%,6.28%,-11.19%,1.64%,243,4.14%,-19.71%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/22/2016,1.937,00,,,4/3/2017,,4/3/2017,,,,,2.84%,1.937,00,55.00,2.399,19,746.89,1.327,86,72%,24%,2.29%,7.36%,6.14%,-13.16%,-0.62%,243,4.14%,-17.89%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/23/2016,1.975,00,,,4/10/2017,,4/10/2017,,,,,2.78%,1.975,00,55.00,2.399,19,746.89,1.327,86,74%,21%,2.29%,7.36%,6.03%,-14.84%,-2.53%,243,4.14%,-16.28%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/24/2016,1.817,00,,,4/18/2017,,4/17/2017,,,,,3.03%,1.817,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.55%,-7.43%,5.94%,243,4.14%,-22.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/27/2016,1.671,00,,,4/24/2017,,4/24/2017,,,,,3.29%,1.671,00,55.00,2.399,19,746.89,1.327,86,56%,44%,2.29%,7.36%,7.12%,0.66%,15.20%,243,4.14%,-29.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/28/2016,1.697,00,,,5/2/2017,,5/1/2017,,,,,3.24%,1.697,00,55.00,2.399,19,746.89,1.327,86,58%,41%,2.29%,7.36%,7.01%,-0.88%,13.44%,243,4.14%,-28.06%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/29/2016,1.749,00,,,5/8/2017,,5/8/2017,,,,,3.14%,1.749,00,55.00,2.399,19,746.89,1.327,86,61%,37%,2.29%,7.36%,6.80%,-3.83%,10.06%,243,4.14%,-25.86%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,6/30/2016,1.760,00,,,5/15/2017,,5/15/2017,,,,,3.13%,1.760,00,55.00,2.399,19,746.89,1.327,86,61%,36%,2.29%,7.36%,6.76%,-4.43%,9.38%,243,4.14%,-25.39%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/1/2016,1.754,00,,,5/22/2017,,5/22/2017,,,,,3.14%,1.754,00,55.00,2.399,19,746.89,1.327,86,61%,37%,2.29%,7.36%,6.78%,-4.10%,9.75%,243,4.14%,-25.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/4/2016,1.694,00,,,5/30/2017,,5/30/2017,,,,,3.25%,1.694,00,55.00,2.399,19,746.89,1.327,86,57%,42%,2.29%,7.36%,7.02%,-0.71%,13.64%,243,4.14%,-28.19%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/5/2016,1.639,00,,,6/5/2017,,6/5/2017,,,,,3.36%,1.639,00,55.00,2.399,19,746.89,1.327,86,54%,46%,2.29%,7.36%,7.26%,2.62%,17.45%,243,4.14%,-30.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/6/2016,1.590,00,,,6/12/2017,,6/12/2017,,,,,3.46%,1.590,00,55.00,2.399,19,746.89,1.327,86,51%,51%,2.29%,7.36%,7.48%,5.79%,21.07%,243,4.14%,-32.60%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/7/2016,1.610,00,,,6/19/2017,,6/19/2017,,,,,3.42%,1.610,00,55.00,2.399,19,746.89,1.327,86,52%,49%,2.29%,7.36%,7.39%,4.47%,19.57%,243,4.14%,-31.75%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/8/2016,1.624,00,,,6/26/2017,,6/26/2017,,,,,3.39%,1.624,00,55.00,2.399,19,746.89,1.327,86,53%,48%,2.29%,7.36%,7.33%,3.57%,18.53%,243,4.14%,-31.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/11/2016,1.723,00,,,7/3/2017,,7/3/2017,,,,,3.19%,1.723,00,55.00,2.399,19,746.89,1.327,86,59%,39%,2.29%,7.36%,6.91%,-2.38%,11.72%,243,4.14%,-26.96%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/12/2016,1.919,00,,,7/10/2017,,7/10/2017,,,,,2.87%,1.919,00,55.00,2.399,19,746.89,1.327,86,71%,25%,2.29%,7.36%,6.20%,-12.35%,0.31%,243,4.14%,-18.65%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/13/2016,1.940,00,,,7/17/2017,,7/17/2017,,,,,2.84%,1.940,00,55.00,2.399,19,746.89,1.327,86,72%,24%,2.29%,7.36%,6.13%,-13.30%,-0.77%,243,4.14%,-17.76%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/14/2016,1.875,00,,,7/24/2017,,7/24/2017,,,,,2.93%,1.875,00,55.00,2.399,19,746.89,1.327,86,68%,28%,2.29%,7.36%,6.35%,-10.29%,2.67%,243,4.14%,-20.52%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/15/2016,1.817,00,,,7/31/2017,,7/31/2017,,,,,3.03%,1.817,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.55%,-7.43%,5.94%,243,4.14%,-22.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/18/2016,1.862,00,,,8/7/2017,,8/7/2017,,,,,2.95%,1.862,00,55.00,2.399,19,746.89,1.327,86,67%,29%,2.29%,7.36%,6.39%,-9.67%,3.38%,243,4.14%,-21.07%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/19/2016,1.844,00,,,8/14/2017,,8/14/2017,,,,,2.98%,1.844,00,55.00,2.399,19,746.89,1.327,86,66%,30%,2.29%,7.36%,6.45%,-8.79%,4.39%,243,4.14%,-21.83%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/20/2016,1.835,00,,,8/21/2017,,8/21/2017,,,,,3.00%,1.835,00,55.00,2.399,19,746.89,1.327,86,66%,31%,2.29%,7.36%,6.49%,-8.34%,4.90%,243,4.14%,-22.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/21/2016,1.829,00,,,8/29/2017,,8/28/2017,,,,,3.01%,1.829,00,55.00,2.399,19,746.89,1.327,86,65%,31%,2.29%,7.36%,6.51%,-8.04%,5.25%,243,4.14%,-22.47%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/22/2016,1.818,00,,,9/4/2017,,9/5/2017,,,,,3.03%,1.818,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.55%,-7.48%,5.89%,243,4.14%,-22.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/25/2016,1.818,00,,,9/11/2017,,9/11/2017,,,,,3.03%,1.818,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.55%,-7.48%,5.89%,243,4.14%,-22.93%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/26/2016,1.817,00,,,9/18/2017,,9/18/2017,,,,,3.03%,1.817,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.55%,-7.43%,5.94%,243,4.14%,-22.98%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/27/2016,1.839,00,,,9/25/2017,,9/25/2017,,,,,2.99%,1.839,00,55.00,2.399,19,746.89,1.327,86,66%,30%,2.29%,7.36%,6.47%,-8.54%,4.68%,243,4.14%,-22.04%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/28/2016,1.821,00,,,10/2/2017,,10/2/2017,,,,,3.02%,1.821,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.53%,-7.63%,5.71%,243,4.14%,-22.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,7/29/2016,1.809,00,,,10/9/2017,,10/9/2017,,,,,3.04%,1.809,00,55.00,2.399,19,746.89,1.327,86,64%,33%,2.29%,7.36%,6.58%,-7.02%,6.41%,243,4.14%,-23.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/1/2016,1.784,00,,,10/16/2017,,10/16/2017,,,,,3.08%,1.784,00,55.00,2.399,19,746.89,1.327,86,63%,34%,2.29%,7.36%,6.67%,-5.72%,7.90%,243,4.14%,-24.37%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/2/2016,1.789,00,,,10/23/2017,,10/23/2017,,,,,3.07%,1.789,00,55.00,2.399,19,746.89,1.327,86,63%,34%,2.29%,7.36%,6.65%,-5.98%,7.60%,243,4.14%,-24.16%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/3/2016,1.788,00,,,10/30/2017,,10/30/2017,,,,,3.08%,1.788,00,55.00,2.399,19,746.89,1.327,86,63%,34%,2.29%,7.36%,6.66%,-5.93%,7.66%,243,4.14%,-24.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/4/2016,1.795,00,,,11/6/2017,,11/6/2017,,,,,3.06%,1.795,00,55.00,2.399,19,746.89,1.327,86,63%,34%,2.29%,7.36%,6.63%,-6.30%,7.24%,243,4.14%,-23.91%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/5/2016,1.809,00,,,11/13/2017,,11/13/2017,,,,,3.04%,1.809,00,55.00,2.399,19,746.89,1.327,86,64%,33%,2.29%,7.36%,6.58%,-7.02%,6.41%,243,4.14%,-23.31%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/8/2016,1.821,00,,,11/20/2017,,11/20/2017,,,,,3.02%,1.821,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.53%,-7.63%,5.71%,243,4.14%,-22.81%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/9/2016,1.836,00,,,11/27/2017,,11/27/2017,,,,,3.00%,1.836,00,55.00,2.399,19,746.89,1.327,86,66%,31%,2.29%,7.36%,6.48%,-8.39%,4.85%,243,4.14%,-22.17%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/10/2016,1.813,00,,,12/4/2017,,12/4/2017,,,,,3.03%,1.813,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.56%,-7.23%,6.18%,243,4.14%,-23.15%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/11/2016,1.800,00,,,12/11/2017,,12/11/2017,,,,,3.06%,1.800,00,55.00,2.399,19,746.89,1.327,86,64%,33%,2.29%,7.36%,6.61%,-6.56%,6.94%,243,4.14%,-23.70%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/12/2016,1.838,00,,,12/18/2017,,12/18/2017,,,,,2.99%,1.838,00,55.00,2.399,19,746.89,1.327,86,66%,31%,2.29%,7.36%,6.47%,-8.49%,4.73%,243,4.14%,-22.09%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/15/2016,1.835,00,,,12/27/2017,,12/26/2017,,,,,3.00%,1.835,00,55.00,2.399,19,746.89,1.327,86,66%,31%,2.29%,7.36%,6.49%,-8.34%,4.90%,243,4.14%,-22.21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/16/2016,1.824,00,,,1/2/2018,,1/2/2018,,,,,3.02%,1.824,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.52%,-7.79%,5.54%,243,4.14%,-22.68%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/17/2016,1.840,00,,,1/8/2018,,1/8/2018,,,,,2.99%,1.840,00,55.00,2.399,19,746.89,1.327,86,66%,30%,2.29%,7.36%,6.47%,-8.59%,4.62%,243,4.14%,-22.00%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/18/2016,1.850,00,,,1/15/2018,,1/16/2018,,,,,2.97%,1.850,00,55.00,2.399,19,746.89,1.327,86,67%,30%,2.29%,7.36%,6.43%,-9.08%,4.05%,243,4.14%,-21.58%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/19/2016,1.845,00,,,1/22/2018,,1/22/2018,,,,,2.98%,1.845,00,55.00,2.399,19,746.89,1.327,86,66%,30%,2.29%,7.36%,6.45%,-8.83%,4.34%,243,4.14%,-21.79%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/22/2016,1.823,00,,,1/29/2018,,1/29/2018,,,,,3.02%,1.823,00,55.00,2.399,19,746.89,1.327,86,65%,32%,2.29%,7.36%,6.53%,-7.73%,5.60%,243,4.14%,-22.72%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2016,8/23/2016,1.831,00,,,2/5/2018,,2/5/2018,,,,,3.00%,1.831,00,55.00,2.399,19,746.89,1.327,86,66%,31%,2.29%,7.36%,6.50%,-8.14%,5.13%,243,4.14%,-22.38%,,,,,,,,,,,,
